iso3,unidad,orden,modo,alcance,porcion_dias,porcion_fraccion,iniciativa,veto_empleador,default_ante_silencio,resolucion_desacuerdo,instrumento,literal_normativo
MEX,Ciudad de México,1,particion,todo_el_derecho,,,empleador,,,,ley,"[version anterior] El patrono debe senalar la epoca en que el trabajador ha de gozar las vacaciones y notificarle la fecha de iniciacion de ellas, con treinta dias de anticipacion por lo menos (art. 182) | Art. 178: las vacaciones no podran iniciarse en dia de asueto ni de descanso semanal."
NIC,Managua,1,particion,todo_el_derecho,,,empleador,,,,ley,"Art. 76 parrafo 4: 'Es obligacion de los empleadores elaborar el calendario de vacaciones y darlo a conocer a sus trabajadores.' Parrafo 3: 'En todos los casos, por interes del empleador o del trabajador o cuando se trate de las labores ciclicas del campo o de servicios que por su naturaleza no deban interrumpirse, la epoca de disfrute de las vacaciones podra convenirse en fecha distinta a la que corresponda.'"
NLD,Ámsterdam,1,particion,todo_el_derecho,,,trabajador,causal_operativa,aprobado,,ley,"BW 7:638 lid 2: 'Voorzover in de vaststelling van de vakantie niet is voorzien bij schriftelijke overeenkomst dan wel bij of krachtens collectieve arbeidsovereenkomst of regeling door of namens een daartoe bevoegd bestuursorgaan of de wet, stelt de werkgever de tijdstippen van aanvang en einde van de vakantie vast overeenkomstig de wensen van de werknemer tenzij gewichtige redenen zich daartegen verzetten. Indien de werkgever niet binnen twee weken nadat de werknemer zijn wensen schriftelijk heeft kenbaar gemaakt, schriftelijk aan de werknemer gewichtige redenen heeft aangevoerd, is de vakantie vastgesteld overeenkomstig de wensen van de werknemer.'"
NOR,Oslo,1,particion,todo_el_derecho,,,empleador,,,,ley,"Ferieloven § 6 nr. 1: 'Arbeidsgiver skal i god tid for ferien drofte fastsetting av feriefritid og oppsetting av ferielister med den enkelte arbeidstaker eller vedkommendes tillitsvalgte. Oppnas ikke enighet, fastsetter arbeidsgiver tiden for ferien innenfor de grenser som folger av §§ 7-9.' § 7 nr. 1: 'Arbeidstaker kan kreve at hovedferie som omfatter 18 virkedager gis i hovedferieperioden 1 juni - 30 september.' § 7 nr. 2: 'Arbeidstaker kan kreve at restferien (7 virkedager) gis samlet innenfor feriearet.' § 6 nr. 2: el trabajador puede exigir ser informado a mas tardar dos meses antes."
NZL,Auckland,1,particion,todo_el_derecho,,,negociada,,,limite_razonabilidad,ley,"s 18(3): 'When annual holidays are to be taken by the employee is to be agreed between the employer and employee.' s 18(4): 'An employer must not unreasonably withhold consent to an employee's request to take annual holidays.' s 18(2): si el trabajador lo elige, el empleador debe permitirle tomar al menos dos semanas continuas. s 19(1)(a) y (2): si empleador y trabajador no llegan a acuerdo bajo s 18(3), el empleador PUEDE exigir que se tomen, con no menos de catorce dias de preaviso."
PER,Lima,1,particion,todo_el_derecho,,,negociada,,,empleador,ley,"Art. 14 D. Leg. 713: la oportunidad del descanso vacacional sera fijada de comun acuerdo entre el empleador y el trabajador, teniendo en cuenta las necesidades de funcionamiento de la empresa y los intereses propios del trabajador. A falta de acuerdo decidira el empleador en uso de su facultad directriz."
POL,Varsovia,1,particion,porcion_definida,4.0,,trabajador,ninguno,aprobado,,ley,"Art. 167(2): 'Pracodawca jest obowiazany udzielic na zadanie pracownika i w terminie przez niego wskazanym nie wiecej niz 4 dni urlopu w kazdym roku kalendarzowym. Pracownik zglasza zadanie udzielenia urlopu najpozniej w dniu rozpoczecia urlopu.' — el empleador ESTA OBLIGADO a conceder, a requerimiento del trabajador y en la fecha que este indique, hasta cuatro dias por ano natural; el requerimiento se presenta a mas tardar el dia en que empiezan."
POL,Varsovia,2,particion,residual,,,empleador,,,,ley,"Art. 163 § 1: 'Urlopy powinny byc udzielane zgodnie z planem urlopow. Plan urlopow ustala pracodawca, biorac pod uwage wnioski pracownikow i koniecznosc zapewnienia normalnego toku pracy.' Art. 163 § 1(1): si el sindicato de empresa da su conformidad —o si no hay sindicato, que es lo habitual en la empresa privada— el empleador NO establece plan y fija la fecha 'po porozumieniu z pracownikiem', previo acuerdo con el trabajador. Art. 161: obligacion de conceder en el ano en que se adquiere el derecho; art. 168: tope del 30 de septiembre del ano siguiente."
PRT,Lisboa,1,particion,todo_el_derecho,,,negociada,,,empleador,ley,"Artigo 241.º n.º 1: 'O periodo de ferias e marcado por acordo entre empregador e trabalhador.' n.º 2: 'Na falta de acordo, o empregador marca as ferias, que nao podem ter inicio em dia de descanso semanal do trabalhador, ouvindo para o efeito a comissao de trabalhadores...'. n.º 3: 'o empregador so pode marcar o periodo de ferias entre 1 de Maio e 31 de Outubro'. n.º 8: interpolacion por acuerdo, con un minimo de 10 dias uteis consecutivos."
PRY,Asunción,1,particion,todo_el_derecho,,,empleador,,,,ley,"Art. 222: 'La epoca de las vacaciones debe ser senalada por el empleador, a mas tardar dentro de los seis meses siguientes a la fecha en que se tiene derecho a vacaciones y ellas deben ser concedidas oficiosamente o a peticion del trabajador, sin perjudicar el servicio y la efectividad del descanso, para lo cual podra establecer turnos, si no prefiriese cerrar el establecimiento. El empleador dara a conocer por escrito al trabajador, con quince dias de anticipacion, la fecha en que se le concederan las vacaciones.'"
ROU,Bucarest,1,particion,todo_el_derecho,,,empleador,,,,ley,"Efectuarea concediului de odihna se realizeaza in baza unei programari colective sau individuale stabilite de angajator cu consultarea sindicatului sau, dupa caz, a reprezentantilor salariatilor, pentru programarile colective, ori cu consultarea salariatului, pentru programarile individuale (art. 148 alin. 1); angajatorul nu este tinut sa justifice refuzul de a acorda salariatului o perioada de concediu neintrerupt care sa depaseasca 10 zile lucratoare (art. 148 alin. 5)"
SLV,San Salvador,1,particion,todo_el_derecho,,,empleador,,,,ley,"El patrono debe senalar la epoca en que el trabajador ha de gozar las vacaciones y notificarle la fecha de iniciacion de ellas, con treinta dias de anticipacion por lo menos (art. 182) | Art. 178: las vacaciones no podran iniciarse en dia de asueto ni de descanso semanal."
SVK,Bratislava,1,particion,todo_el_derecho,,,empleador,,,,ley,"Cerpanie dovolenky urcuje zamestnavatel po prerokovani so zamestnancom podla planu dovoleniek urceneho s predchadzajucim suhlasom zastupcov zamestnancov tak, aby si zamestnanec mohol dovolenku vycerpat spravidla vcelku a do konca kalendarneho roka — el empleador determina el disfrute, previa consulta con el trabajador y segun el plan de vacaciones aprobado con los representantes de los trabajadores."
SWE,Estocolmo,1,particion,todo_el_derecho,,,empleador,,,,ley,"Om det inte gar att komma overens om hur semesterledighet ska forlaggas, bestammer arbetsgivaren om forlaggningen, om inte nagot annat har avtalats (11 §); om inte annat har avtalats, ska semesterledigheten forlaggas sa, att arbetstagaren far en ledighetsperiod av minst fyra veckor under juni-augusti (12 §); forhandling med arbetstagarens organisation (10 §)"
THA,Bangkok,1,particion,todo_el_derecho,,,empleador,,,,ley,The annual holiday shall be provided in advance by the employer or upon the agreement between the employer and the employee (s.30 par. 1); the employer and employee may conclude in advance that the annual holiday may be cumulated and the unused annual holiday of each year may be cumulated for the following year (s.30 par. 3)
TUR,Estambul,1,particion,todo_el_derecho,,,trabajador,discrecional,sin_regla,,ley,"Yillik Ucretli Izin Yonetmeligi m. 7/1: «Isci [...] yillik ucretli iznini, kullanmak istedigi zamandan en az bir ay once isverene yazili olarak bildirir» —el trabajador comunica por escrito, con al menos un mes de antelacion, cuando quiere tomarla—. Y m. 8/2: «Izin kurulu veya isveren, iscinin istedigi izin kullanma tarihi ile bagli degildir» —la comision o el empleador NO quedan vinculados por la fecha solicitada—, si bien los cuadros se preparan «iscinin talebi ve is durumu dikkate alinarak», considerando la solicitud y la situacion del trabajo."
