iso3,unidad,version_id,dias_texto_legal,tipo_de_dia,base_semanal_dias,base_semanal_origen,calificacion_meses,rango_min,rango_max,causa_del_rango,base_antiguedad,imputacion_feriados,regla_reconocimiento,vigencia_desde,vigencia_hasta,sector,estado_2016,estado_2026,nivel_fuente_2016,rama_10bis,buscado_en_2016
COL,Bogotá,599,15.0,habil,6,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,2,a,"Base de datos juridica del Senado de la República de Colombia, texto del Código Sustantivo del Trabajo con sus «Notas de Vigencia» por artículo"
CRI,San José,686,2.0,semanas,6,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Sistema Nacional de Legislacion Vigente de Costa Rica, ficha del art. 153 del Código de Trabajo con su historial de versiones"
CZE,Praga,1489,4.0,semanas,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Repositorio checo de legislacion, texto vigente del Código de Trabajo 262/2006, § 212"
DEU,Berlín,167,24.0,werktage,6,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Portal federal aleman de legislacion, ficha de la ley federal de vacaciones con su linea de estado, y texto del § 3"
DNK,Copenhague,714,25.0,habil,5,norma,1,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Retsinformation, portal oficial danes: las DOS leyes de vacaciones enfrentadas — la refundida de 9 de octubre de 2015, vigente al corte de 2016, y la ley 60 de 30 de enero de 2018, con efecto pleno el 1 de septiembre de 2020"
DOM,Santo Domingo,1520,14.0,habil,6,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,supuesto,3,b,Reproducciones del Código de Trabajo dominicano con la nota de modificación del art. 177
ECU,Guayaquil,756,15.0,calendario,,,12,,,,servicio_continuo_empleador_actual,se_computan_contra,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Reproducciones del Código del Trabajo ecuatoriano, Codificacion 17 publicada en el Registro Oficial Suplemento 167 de 16 de diciembre de 2005"
ESP,Madrid,831,30.0,calendario,,,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Servicio de datos abiertos del BOE, analisis de referencias posteriores del texto refundido del Estatuto de los Trabajadores. NO el consolidado en PDF: se comprobo que ese documento no anota ninguna modificación en ningun sitio, de modo que su silencio sobre el art. 38 no seria evidencia."
FIN,Helsinki,895,30.0,werktage,6,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Finlex, base oficial de legislacion finlandesa, texto consolidado de la ley anual de vacaciones 162/2005 con sus marcas de modificación por artículo y su lista de leyes modificatorias"
FRA,París,928,30.0,werktage,6,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Legifrance, ficha del art. L3141-3 del Code du travail con su nota de version, y la seccion de conges payes consultada en su estado a 1 de enero de 2016"
GBR,Londres,1455,5.6,semanas,5,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Registro oficial de legislacion del Reino Unido, fichas de los reglamentos 13 y 13A del Working Time Regulations 1998 con su seccion «Textual Amendments» y su lista de versiones fechadas"
GRC,Atenas,954,20.0,habil,5,norma,0,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,2,b,"Inspeccion de Trabajo de Grecia, pagina oficial sobre días de vacacion anual ordinaria"
GTM,Ciudad de Guatemala,69,15.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,supuesto,3,b,"Repositorio del Código de Trabajo de Guatemala, ficha del art. 130 con su nota de reforma"
HND,Tegucigalpa,982,10.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Fuentes juridicas hondurenas sobre el art. 346 del Código del Trabajo, Decreto 189-59, mas la busqueda año por año que la propia ficha documenta en cuatro repositorios oficiales"
HUN,Budapest,1013,20.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Coleccion hungara de leyes en vigor, texto del Código de Trabajo de 2012 con sus marcadores de nota por artículo"
IDN,Yakarta,207,12.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Reproduccion del texto consolidado del capitulo laboral de la UU 6/2023, con su encabezado de modificación del art. 79"
IRL,Dublín,1044,4.0,semanas,5,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Irish Statute Book: texto promulgado de la seccion 19 del Organisation of Working Time Act 1997 y el Legislation Directory del propio acto, que lista artículo por artículo todo lo que lo afecto"
ISR,Jerusalén,1074,16.0,calendario,,,12,,,,servicio_continuo_empleador_actual,extienden,,2016-12-31,,privado,,supuesto,,,
ISR,Jerusalén,1075,14.0,calendario,,,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,2016-12-31,privado,verificado_primaria,,,,
ITA,Roma,1131,4.0,semanas,5,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Normattiva, base oficial italiana de legislacion consolidada, ficha del art. 10 del D.Lgs. 66/2003 con su fecha de texto en vigor"
JPN,Tokio,1175,10.0,habil,,horario_del_trabajador,6,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,2,b,"Buscador oficial de legislacion del Gobierno de Japon, texto vigente del art. 39 de la Ley de Normas Laborales"
KOR,Seúl,644,15.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Centro Nacional de Informacion Legislativa de Corea, vista de comparacion de texto anterior y posterior de la ley 15108 sobre la Ley de Normas Laborales"
MEX,Ciudad de México,125,12.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2023-01-01,,privado,,verificado_primaria,,,
MEX,Ciudad de México,126,6.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,2023-01-01,privado,verificado_primaria,,,,
NIC,Managua,1222,30.0,calendario,,,6,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Reproducciones del Código del Trabajo de Nicaragua, Ley 185, arts. 76 a 80"
NLD,Ámsterdam,1318,4.0,semanas,,horario_del_trabajador,0,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,Portal del Gobierno neerlandes para empresas —informacion oficial sobre días de vacaciones legales— y guias juridicas concordantes
NOR,Oslo,1257,25.0,werktage,6,norma,0,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Lovdata, texto de la ferieloven con su registro de modificaciones por artículo"
NZL,Auckland,1288,4.0,semanas,,horario_del_trabajador,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Sitio oficial de legislacion de Nueva Zelanda, texto vigente del Holidays Act 2003 con sus notas de enmienda apartado por apartado"
PER,Lima,37,30.0,calendario,,,12,,,,servicio_continuo_empleador_actual,se_computan_contra,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Texto consolidado del Decreto Legislativo 713 en la serie «Normas Legales Actualizadas» del Diario Oficial El Peruano, que anota bajo cada artículo su última modificación; y el texto íntegro del Decreto Legislativo 1405 en el buscador de normas legales del mismo diario oficial."
POL,Varsovia,1395,20.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"API oficial de legislacion del Sejm: textos consolidados del Código de Trabajo publicados en Dz.U. 2016 poz. 1666 y Dz.U. 2023 poz. 1465, descargados y comparados artículo por artículo"
PRT,Lisboa,1430,22.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,supuesto,1,a,"Diario da Republica, version consolidada oficial del Codigo do Trabalho, ficha del art. 238.º con su seccion «Alteracoes ao artigo»"
PRY,Asunción,1355,12.0,habil,,horario_del_trabajador,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,2,a,"Biblioteca y Archivo Central del Congreso Nacional de Paraguay, texto de la Ley 496 que modifica, amplia y deroga articulos de la Ley 213/93"
ROU,Bucarest,1563,20.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,supuesto,3,b,"Repositorios juridicos rumanos que reproducen el texto del art. 145 antes y despues de la Ley 283/2022, mas alertas legales sobre esa reforma"
SLV,San Salvador,98,15.0,calendario,,,12,,,,servicio_continuo_empleador_actual,se_computan_contra,,2016-01-01,,privado,sin_cambio_confirmado,supuesto,3,b,"Codigo de Trabajo, texto consolidado del Indice Legislativo de la Asamblea Legislativa, con su INDICE DE REFORMAS de 26 decretos entre 1974 y 2023"
SVK,Bratislava,795,4.0,semanas,5,norma,0,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,1,a,"Slov-Lex, portal oficial eslovaco de legislacion: § 103 del Código de Trabajo en su versión vigente al 1 de enero de 2016 y en la vigente hoy, enfrentadas"
SWE,Estocolmo,1591,25.0,habil,5,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Repositorio de legislacion sueca con el registro de modificaciones (andringar) de la semesterlag 1977:480, artículo por artículo"
THA,Bangkok,1629,6.0,habil,6,norma,12,,,,servicio_continuo_empleador_actual,sin_regla_explicita,,2016-01-01,,privado,sin_cambio_confirmado,supuesto,3,b,"Texto de la Labour Protection Act (no. 9) B.E. 2568 reproducido del Boletin Oficial —vol. 142, seccion 74 Kor, 7 de noviembre de 2025— leido artículo por artículo, mas la referencia a la (no. 7) B.E. 2562"
TUR,Estambul,232,14.0,werktage,6,norma,12,,,,servicio_continuo_empleador_actual,extienden,,2016-01-01,,privado,sin_cambio_confirmado,verificado_primaria,3,b,"Repositorio juridico turco, vista de comparacion de versiones del art. 53 de la ley 4857"
